Company,Category,Company Stage,Pricing Model,Usage-flavored,Number of Tiers,Has Free Tier,Has Free Trial,Entry Price (USD/mo),Entry Price Basis,Top Visible Price (USD/mo),Has Contact-Sales Tier,Annual Discount (%),Price Transparent,Mentions AI,AI Monetization,Charges Extra for AI,AI Add-on Price (USD/mo),Mentions SSO,SSO Location,SSO Tax,Confidence,Source Method
Anthropic,AI-native,Late-stage Private,Hybrid,TRUE,5,TRUE,FALSE,17.0,Flat,100.0,TRUE,15.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
Copy.ai,AI-native,Growth,Hybrid,TRUE,5,FALSE,FALSE,29.0,Per seat,3000.0,TRUE,20.0,TRUE,TRUE,Usage credits,TRUE,,FALSE,Not mentioned,FALSE,high,webfetch
Cursor,AI-native,Growth,Per-seat,FALSE,7,TRUE,FALSE,20.0,Per seat,40.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
DeepL,AI-native,Late-stage Private,Per-seat,FALSE,5,TRUE,TRUE,8.74,Per seat,57.49,TRUE,16.0,TRUE,TRUE,Paid add-on,TRUE,7.49,TRUE,Mid tier,FALSE,high,manual
ElevenLabs,AI-native,Growth,Hybrid,TRUE,7,TRUE,FALSE,6.0,Flat,990.0,TRUE,16.67,TRUE,TRUE,Usage credits,TRUE,,TRUE,Top paid tier,TRUE,high,webfetch
Fireflies.ai,AI-native,Growth,Per-seat,FALSE,4,TRUE,FALSE,10.0,Per seat,39.0,TRUE,44.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Gamma,AI-native,Growth,Hybrid,TRUE,7,TRUE,FALSE,10.0,Per seat,100.0,TRUE,20.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,medium,manual
GitHub Copilot,AI-native,Public,Hybrid,TRUE,4,TRUE,FALSE,10.0,Per seat,100.0,TRUE,,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Glean,AI-native,Late-stage Private,Contact-only,FALSE,,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Grammarly,AI-native,Late-stage Private,Flat-rate,FALSE,3,TRUE,TRUE,12.0,Flat,12.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Jasper,AI-native,Growth,Per-seat,FALSE,2,FALSE,TRUE,59.0,Per seat,69.0,TRUE,20.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Lovable,AI-native,Growth,Usage-based,TRUE,3,TRUE,FALSE,,Usage,,TRUE,,FALSE,TRUE,Usage credits,TRUE,,FALSE,Not mentioned,FALSE,medium,webfetch
OpenAI,AI-native,Late-stage Private,Per-seat,FALSE,6,TRUE,FALSE,8.0,Per seat,200.0,TRUE,20.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Top paid tier,TRUE,high,manual
Otter.ai,AI-native,Growth,Per-seat,FALSE,4,TRUE,FALSE,8.33,Per seat,19.99,TRUE,51.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Perplexity,AI-native,Growth,Per-seat,FALSE,5,TRUE,FALSE,20.0,Per seat,200.0,TRUE,16.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Top paid tier,TRUE,medium,manual
Runway,AI-native,Growth,Usage-based,TRUE,5,TRUE,FALSE,12.0,Usage,76.0,TRUE,20.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Synthesia,AI-native,Late-stage Private,Hybrid,TRUE,4,TRUE,FALSE,18.0,Flat,64.0,TRUE,38.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Writer,AI-native,Late-stage Private,Per-seat,FALSE,2,FALSE,TRUE,,Per seat,,TRUE,,FALSE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,medium,apify
Airtable,Collaboration & Productivity,Late-stage Private,Per-seat,FALSE,4,TRUE,FALSE,20.0,Per seat,45.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Asana,Collaboration & Productivity,Public,Per-seat,FALSE,4,TRUE,FALSE,10.99,Per seat,24.99,TRUE,18.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Basecamp,Collaboration & Productivity,Bootstrapped,Hybrid,TRUE,3,TRUE,TRUE,15.0,Per seat,299.0,FALSE,,TRUE,FALSE,None,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Box,Collaboration & Productivity,Public,Per-seat,FALSE,8,TRUE,TRUE,15.0,Per seat,,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
Calendly,Collaboration & Productivity,Late-stage Private,Per-seat,FALSE,4,TRUE,TRUE,10.0,Per seat,16.0,TRUE,16.0,TRUE,FALSE,None,FALSE,,TRUE,Top paid tier,TRUE,high,webfetch
ClickUp,Collaboration & Productivity,Late-stage Private,Per-seat,FALSE,4,TRUE,FALSE,7.0,Per seat,19.0,TRUE,30.0,TRUE,TRUE,Paid add-on,TRUE,9.0,TRUE,Mid tier,FALSE,high,webfetch
Confluence,Collaboration & Productivity,Public,Per-seat,FALSE,4,TRUE,TRUE,5.5,Per seat,13.5,TRUE,,TRUE,FALSE,None,FALSE,,TRUE,Top paid tier,TRUE,medium,webfetch
Dropbox,Collaboration & Productivity,Public,Per-seat,FALSE,5,TRUE,TRUE,9.99,Flat,24.0,TRUE,,TRUE,TRUE,Higher tier,TRUE,,TRUE,Top paid tier,TRUE,high,webfetch
Evernote,Collaboration & Productivity,Private,Contact-only,FALSE,4,TRUE,TRUE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,medium,webfetch
Loom,Collaboration & Productivity,Public,Per-seat,FALSE,4,TRUE,TRUE,18.0,Per seat,24.0,TRUE,17.0,TRUE,TRUE,Higher tier,TRUE,6.0,TRUE,Enterprise only,TRUE,high,webfetch
Miro,Collaboration & Productivity,Late-stage Private,Per-seat,FALSE,4,TRUE,TRUE,8.0,Per seat,20.0,TRUE,20.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,Mid tier,FALSE,high,webfetch
monday.com,Collaboration & Productivity,Public,Hybrid,TRUE,5,TRUE,TRUE,9.0,Per seat,19.0,TRUE,18.0,TRUE,TRUE,Usage credits,TRUE,,FALSE,Not mentioned,FALSE,high,webfetch
Notion,Collaboration & Productivity,Late-stage Private,Per-seat,FALSE,4,TRUE,FALSE,10.0,Per seat,20.0,TRUE,20.0,TRUE,TRUE,Bundled,FALSE,10.0,TRUE,Mid tier,FALSE,high,webfetch
Slack,Collaboration & Productivity,Public,Per-seat,FALSE,4,TRUE,FALSE,4.38,Per seat,9.0,TRUE,17.0,TRUE,TRUE,Higher tier,TRUE,,TRUE,Mid tier,FALSE,high,webfetch
Todoist,Collaboration & Productivity,Bootstrapped,Per-seat,FALSE,3,TRUE,FALSE,4.0,Per seat,,FALSE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,medium,webfetch
Trello,Collaboration & Productivity,Public,Per-seat,FALSE,4,TRUE,TRUE,5.0,Per seat,17.5,TRUE,16.67,TRUE,TRUE,Higher tier,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Zoom,Collaboration & Productivity,Public,Contact-only,FALSE,4,TRUE,FALSE,,,,TRUE,,FALSE,TRUE,Higher tier,TRUE,,TRUE,Top paid tier,TRUE,high,webfetch
Apollo,CRM & Sales,Growth,Hybrid,TRUE,3,TRUE,TRUE,,Per seat,,TRUE,,TRUE,TRUE,Unknown,FALSE,,FALSE,Not mentioned,FALSE,low,apify
Attio,CRM & Sales,Growth,Hybrid,TRUE,4,TRUE,FALSE,44.0,Per seat,99.0,TRUE,20.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Clay,CRM & Sales,Growth,Hybrid,TRUE,4,TRUE,TRUE,167.0,Usage,446.0,TRUE,10.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Close,CRM & Sales,Growth,Per-seat,FALSE,4,FALSE,TRUE,9.0,Per seat,139.0,TRUE,50.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,All tiers,FALSE,high,webfetch
Copper,CRM & Sales,Growth,Per-seat,FALSE,3,FALSE,TRUE,29.0,Per seat,134.0,FALSE,19.0,TRUE,TRUE,Higher tier,TRUE,,TRUE,Top paid tier,TRUE,high,webfetch
Freshsales,CRM & Sales,Public,Per-seat,FALSE,3,FALSE,TRUE,9.0,Per seat,59.0,FALSE,20.0,TRUE,TRUE,Paid add-on,TRUE,4.08,FALSE,Not mentioned,FALSE,high,webfetch
Gong,CRM & Sales,Late-stage Private,Contact-only,FALSE,,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Unknown,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
HubSpot,CRM & Sales,Public,Per-seat,FALSE,2,TRUE,FALSE,7.0,Per seat,7.0,FALSE,,TRUE,TRUE,Usage credits,TRUE,,FALSE,Not mentioned,FALSE,high,webfetch
Insightly,CRM & Sales,Growth,Per-seat,FALSE,3,FALSE,TRUE,29.0,Per seat,99.0,TRUE,,TRUE,TRUE,Higher tier,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Keap,CRM & Sales,Growth,Hybrid,TRUE,1,FALSE,TRUE,249.0,Usage,249.0,FALSE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Nimble,CRM & Sales,Bootstrapped,Per-seat,FALSE,1,FALSE,TRUE,24.9,Per seat,29.9,FALSE,17.0,TRUE,TRUE,Bundled,FALSE,15.0,FALSE,Not mentioned,FALSE,high,webfetch
Nutshell,CRM & Sales,Bootstrapped,Per-seat,FALSE,5,FALSE,TRUE,13.0,Per seat,79.0,FALSE,15.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Outreach,CRM & Sales,Late-stage Private,Hybrid,TRUE,4,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Usage credits,TRUE,,FALSE,Not mentioned,FALSE,high,webfetch
Pipedrive,CRM & Sales,Late-stage Private,Per-seat,FALSE,5,FALSE,TRUE,14.0,Per seat,99.0,FALSE,40.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,manual
